Player,Role,Team,Year,Amount_Crore,Player Origin
Baba Aparajith,All-Rounder,Rising Pune Supergiant,2016.0,0.1,Indian
Baba Indrajith,Wicket Keeper,Kolkata Knight Riders,2022.0,0.2,Indian
Baltej Dhanda,Bowler,Punjab Kings,2022.0,0.2,Indian
Bandaru Ayyappa,Bowler,Delhi Capitals,2019.0,0.2,Indian
Barinder Singh Saran,Bowler,Rajasthan Royals,2015.0,0.1,Indian
Barinder Singh Sran,Bowler,Sunrisers Hyderabad,2016.0,1.2,Indian
Barinder Singh Sran,Bowler,Kings XI Punjab,2018.0,2.2,Indian
Barinder Singh Sran,Bowler,Mumbai Indians,2019.0,3.4,Indian
Basil Thampi,Bowler,Gujarat Lions,2017.0,0.85,Indian
Basil Thampi,Bowler,Sunrisers Hyderabad,2018.0,0.95,Indian
Basil Thampi,Bowler,Mumbai Indians,2022.0,0.3,Indian
Ben Cutting,Bowler,Rajasthan Royals,2014.0,0.8,Overseas
Ben Cutting,All-Rounder,Sunrisers Hyderabad,2016.0,0.5,Overseas
Ben Cutting,All-Rounder,Mumbai Indians,2018.0,2.2,Overseas
Ben Cutting,All-Rounder,Kolkata Knight Riders,2021.0,0.75,Overseas
Ben Dunk,Wicket Keeper,Mumbai Indians,2014.0,0.2,Overseas
Ben Dwarshuis,Bowler,Kings XI Punjab,2018.0,1.4,Overseas
Ben Hilfenhaus,Bowler,Chennai Super Kings,2014.0,1.0,Overseas
Ben Laughlin,Bowler,Chennai Super Kings,2013.0,0.15,Overseas
Ben Laughlin,Bowler,Sunrisers Hyderabad,2017.0,0.3,Overseas
Ben Laughlin,Bowler,Rajasthan Royals,2018.0,0.5,Overseas
Benjamin Stokes,All-Rounder,Rising Pune Supergiant,2017.0,14.5,Overseas
Benjamin Stokes,All-Rounder,Rajasthan Royals,2018.0,12.5,Overseas
Benny Howell,All-Rounder,Punjab Kings,2022.0,0.4,Overseas
Beuran Hendricks,Bowler,Kings XI Punjab,2014.0,1.8,Overseas
Bhanuka Rajapaksa,Batsman,Punjab Kings,2022.0,0.5,Overseas
Bhuvneshwar Kumar,Bowler,Sunrisers Hyderabad,2014.0,4.25,Overseas
Bhuvneshwar Kumar,Bowler,Sunrisers Hyderabad,2022.0,4.2,Indian
Billy Stanlake,Bowler,Royal Challengers Bangalore,2017.0,0.3,Overseas
Billy Stanlake,Batsman,Sunrisers Hyderabad,2018.0,0.5,Overseas
Bipul Sharma,All-Rounder,Sunrisers Hyderabad,2018.0,0.2,Indian
Brad Hodge,Batsman,Rajasthan Royals,2014.0,2.4,Overseas
Brad Hogg,Bowler,Kolkata Knight Riders,2015.0,0.5,Overseas
Brendan Taylor,Wicket Keeper,Sunrisers Hyderabad,2014.0,0.3,Overseas
Brendon McCullum,Wicket Keeper,Chennai Super Kings,2014.0,3.25,Overseas
Brendon McCullum,Batsman,Royal Challengers Bangalore,2018.0,3.6,Overseas
C Hari Nishaanth,Batsman,Chennai Super Kings,2021.0,0.2,Indian
C.Hari Nishaanth,Batsman,Chennai Super Kings,2022.0,0.2,Indian
C.M. Gautam,Wicket Keeper,Mumbai Indians,2014.0,0.2,Indian
C.M. Gautam,Wicket Keeper,Delhi Daredevils,2015.0,0.2,Indian
Cameron Delport,All-Rounder,Kolkata Knight Riders,2018.0,0.3,Overseas
Carlos Brathwaite,All-Rounder,Delhi Daredevils,2016.0,4.2,Overseas
Carlos Brathwaite,All-Rounder,Sunrisers Hyderabad,2018.0,2.0,Overseas
Carlos Brathwaite,All-Rounder,Kolkata Knight Riders,2019.0,5.0,Overseas
Chaitanya Bishnoi,All-Rounder,Chennai Super Kings,2018.0,0.2,Indian
Chama Milind,Bowler,Sunrisers Hyderabad,2014.0,0.1,Indian
Chama Milind,Bowler,Delhi Daredevils,2016.0,0.1,Indian
Chama Milind,Bowler,Royal Challengers Bangalore,2022.0,0.25,Indian
Chamika Karunaratne,All-Rounder,Kolkata Knight Riders,2022.0,0.5,Overseas
Chetan Sakariya,Bowler,Rajasthan Royals,2021.0,1.2,Indian
Chetan Sakariya,Bowler,Delhi Capitals,2022.0,4.2,Indian
Cheteshwar Pujara,Batsman,Kings XI Punjab,2014.0,1.9,Indian
Cheteshwar Pujara,Batsman,Chennai Super Kings,2021.0,0.5,Indian
Chirag Suri,Batsman,Gujarat Lions,2017.0,0.1,Indian
Chris Green,All-Rounder,Kolkata Knight Riders,2020.0,0.2,Overseas
Chris Jordan,All-Rounder,Sunrisers Hyderabad,2017.0,0.5,Overseas
Chris Jordan,All-Rounder,Sunrisers Hyderabad,2018.0,1.0,Overseas
Chris Jordan,All-Rounder,Kings XI Punjab,2020.0,3.0,Overseas
Chris Jordan,All-Rounder,Chennai Super Kings,2022.0,3.6,Overseas
Chris Lynn,Batsman,Kolkata Knight Riders,2014.0,1.3,Overseas
Chris Lynn,Batsman,Kolkata Knight Riders,2018.0,9.6,Overseas
Chris Lynn,Batsman,Mumbai Indians,2020.0,2.0,Overseas
Chris Woakes,All-Rounder,Kolkata Knight Riders,2017.0,4.2,Overseas
Chris Woakes,All-Rounder,Royal Challengers Bangalore,2018.0,7.4,Overseas
Chris Woakes,All-Rounder,Delhi Capitals,2020.0,1.5,Overseas
Christopher Barnwell,All-Rounder,Royal Challengers Bangalore,2013.0,0.375,Overseas
Christopher Gayle,Batsman,Kings XI Punjab,2018.0,2.0,Overseas
Christopher Morris,All-Rounder,Chennai Super Kings,2013.0,4.6875,Overseas
Christopher Morris,All-Rounder,Rajasthan Royals,2015.0,1.4,Overseas
Christopher Morris,All-Rounder,Delhi Daredevils,2016.0,7.0,Overseas
Christopher Morris,All-Rounder,Royal Challengers Bangalore,2020.0,10.0,Overseas
Christopher Morris,All-Rounder,Rajasthan Royals,2021.0,16.25,Overseas
Clinton McKay,Bowler,Sunrisers Hyderabad,2013.0,0.75,Overseas
Colin De Grandhomme,All-Rounder,Royal Challengers Bangalore,2018.0,2.2,Overseas
Colin Ingram,Batsman,Delhi Capitals,2019.0,6.4,Overseas
Colin Munro,All-Rounder,Kolkata Knight Riders,2016.0,0.3,Overseas
Colin Munro,All-Rounder,Delhi Daredevils,2018.0,1.9,Overseas
Corey Anderson,All-Rounder,Mumbai Indians,2014.0,4.5,Overseas
Corey Anderson,All-Rounder,Delhi Daredevils,2017.0,1.0,Overseas
Dale Steyn,Bowler,Gujarat Lions,2016.0,2.3,Overseas
Dale Steyn,Bowler,Royal Challengers Bangalore,2020.0,2.0,Overseas
Dan Christian,All-Rounder,Royal Challengers Bangalore,2021.0,4.8,Overseas
Daniel Christian,All-Rounder,Royal Challengers Bangalore,2013.0,0.75,Overseas
Daniel Christian,All-Rounder,Rising Pune Supergiant,2017.0,1.0,Overseas
Daniel Christian,All-Rounder,Delhi Daredevils,2018.0,1.5,Overseas
Daniel Sams,All-Rounder,Mumbai Indians,2022.0,2.6,Overseas
Darcy Short,All-Rounder,Rajasthan Royals,2018.0,4.0,Overseas
Darren Bravo,Batsman,Kolkata Knight Riders,2017.0,0.5,Overseas
Darren Sammy,All-Rounder,Sunrisers Hyderabad,2013.0,3.1875,Overseas
Darren Sammy,All-Rounder,Sunrisers Hyderabad,2014.0,3.5,Overseas
Darren Sammy,All-Rounder,Royal Challengers Bangalore,2015.0,2.8,Overseas
Darren Sammy,All-Rounder,Kings XI Punjab,2017.0,0.3,Overseas
Darshan Nalkande,All-Rounder,Kings XI Punjab,2019.0,0.3,Indian
Darshan Nalkande,All-Rounder,Gujarat Titans,2022.0,0.2,Indian
Daryl Mitchell,All-Rounder,Rajasthan Royals,2022.0,0.75,Overseas
David Miller,Batsman,Kings XI Punjab,2018.0,3.0,Overseas
David Miller,Batsman,Rajasthan Royals,2020.0,0.75,Overseas
David Miller,Batsman,Gujarat Titans,2022.0,3.0,Overseas
David Warner,Batsman,Sunrisers Hyderabad,2014.0,5.5,Overseas
David Warner,Batsman,Delhi Capitals,2022.0,6.25,Overseas
David Wiese,All-Rounder,Royal Challengers Bangalore,2015.0,2.8,Overseas
David Willey,All-Rounder,Royal Challengers Bangalore,2022.0,2.0,Overseas
Dawid Malan,All-Rounder,Punjab Kings,2021.0,1.5,Overseas
Debabrata Das,Wicket Keeper,Kolkata Knight Riders,2014.0,0.2,Indian
Deepak Chahar,All-Rounder,Rising Pune Supergiant,2016.0,0.1,Indian
Deepak Chahar,All-Rounder,Chennai Super Kings,2018.0,0.8,Indian
Deepak Chahar,Bowler,Chennai Super Kings,2022.0,14.0,Indian
Deepak Hooda,Bowler,Rajasthan Royals,2014.0,0.4,Indian
Deepak Hooda,All-Rounder,Sunrisers Hyderabad,2016.0,4.2,Indian
Deepak Hooda,All-Rounder,Sunrisers Hyderabad,2018.0,3.6,Indian
Deepak Hooda,All-Rounder,Kings XI Punjab,2020.0,0.5,Indian
Deepak Hooda,All-Rounder,Lucknow Super Giants,2022.0,5.75,Indian
Deepak Punia,All-Rounder,Mumbai Indians,2016.0,0.1,Indian
Devdutt Padikkal,Batsman,Royal Challengers Bangalore,2019.0,0.2,Indian
Devdutt Padikkal,Batsman,Rajasthan Royals,2022.0,7.75,Indian
Devon Conway,Batsman,Chennai Super Kings,2022.0,1.0,Overseas
Dewald Brevis,Batsman,Mumbai Indians,2022.0,3.0,Overseas
Dhawal Kulkarni,Bowler,Rajasthan Royals,2014.0,1.1,Indian
Dhawal Kulkarni,Bowler,Gujarat Lions,2016.0,2.0,Indian
Dhawal Kulkarni,Bowler,Rajasthan Royals,2018.0,0.75,Indian
Dhruv Jurel,Wicket Keeper,Rajasthan Royals,2022.0,0.2,Indian
Dhruv Shorey,All-Rounder,Chennai Super Kings,2018.0,0.2,Indian
Digvijay Deshmukh,All-Rounder,Mumbai Indians,2020.0,0.2,Indian
Dinesh Karthik,Wicket Keeper,Delhi Daredevils,2014.0,12.5,Indian
Dinesh Karthik,Wicket Keeper,Royal Challengers Bangalore,2015.0,10.5,Indian
Dinesh Karthik,Wicket Keeper,Gujarat Lions,2016.0,2.3,Indian
Dinesh Karthik,Wicket Keeper,Kolkata Knight Riders,2018.0,7.4,Indian
Dinesh Karthik,Wicket Keeper,Royal Challengers Bangalore,2022.0,5.5,Indian
Dinesh Salunkhe,All-Rounder,Rajasthan Royals,2015.0,0.1,Indian
Dirk Nannes,Bowler,Chennai Super Kings,2013.0,4.5,Overseas
Dishant Yagnik,Wicket Keeper,Rajasthan Royals,2014.0,0.3,Indian
Dominic Drakes,All-Rounder,Gujarat Titans,2022.0,1.1,Overseas
Domnic Joseph Muthuswamy,Bowler,Delhi Daredevils,2015.0,0.75,Overseas
Dushmanta Chameera,Bowler,Lucknow Super Giants,2022.0,2.0,Overseas
Dushmantha Chameera,Bowler,Rajasthan Royals,2018.0,0.5,Overseas
Dwaine Pretorius,All-Rounder,Chennai Super Kings,2022.0,0.5,Overseas
Dwayne Bravo,All-Rounder,Chennai Super Kings,2018.0,6.4,Overseas
Dwayne Bravo,All-Rounder,Chennai Super Kings,2022.0,4.4,Overseas
Dwayne Smith,Batsman,Chennai Super Kings,2014.0,4.5,Overseas
Dwayne Smith,All-Rounder,Gujarat Lions,2016.0,2.3,Overseas
Eklavya Dwivedi,Wicket Keeper,Chennai Super Kings,2015.0,0.1,Indian
Eklavya Dwivedi,Wicket Keeper,Gujarat Lions,2016.0,1.0,Indian
Eklavya Dwivedi,Wicket Keeper,Sunrisers Hyderabad,2017.0,0.75,Indian
Eoin Morgan,Batsman,Sunrisers Hyderabad,2015.0,1.5,Overseas
Eoin Morgan,Batsman,Kings XI Punjab,2017.0,2.0,Overseas
Eoin Morgan,Batsman,Kolkata Knight Riders,2020.0,5.25,Overseas
Evin Lewis,Batsman,Mumbai Indians,2018.0,3.8,Overseas
Evin Lewis,Batsman,Lucknow Super Giants,2022.0,2.0,Overseas
Fabian Allen,All-Rounder,Sunrisers Hyderabad,2020.0,0.5,Overseas
Fabian Allen,All-Rounder,Punjab Kings,2021.0,0.75,Overseas
Fabian Allen,All-Rounder,Mumbai Indians,2022.0,0.75,Overseas
Faf Du Plessis,Batsman,Chennai Super Kings,2014.0,4.75,Overseas
Faf Du Plessis,Batsman,Chennai Super Kings,2018.0,1.6,Overseas
Faf Du Plessis,Batsman,Royal Challengers Bangalore,2022.0,7.0,Overseas
Farhaan Behardien,All-Rounder,Kings XI Punjab,2016.0,0.3,Overseas
Fazalhaq Farooqi,Bowler,Sunrisers Hyderabad,2022.0,0.5,Overseas
Fidel Edwards,Bowler,Rajasthan Royals,2013.0,1.575,Overseas
Finn Allen,Batsman,Royal Challengers Bangalore,2022.0,0.8,Overseas
Gautam Gambhir,Batsman,Delhi Daredevils,2018.0,2.8,Indian
George Bailey,Batsman,Kings XI Punjab,2014.0,3.25,Overseas
Glenn Maxwell,All-Rounder,Mumbai Indians,2013.0,7.5,Overseas
Glenn Maxwell,All-Rounder,Kings XI Punjab,2014.0,6.0,Overseas
Glenn Maxwell,All-Rounder,Delhi Daredevils,2018.0,9.0,Overseas
Glenn Maxwell,All-Rounder,Kings XI Punjab,2020.0,10.75,Overseas
Glenn Maxwell,All-Rounder,Royal Challengers Bangalore,2021.0,14.25,Overseas
Glenn Phillips,Wicket Keeper,Sunrisers Hyderabad,2022.0,1.5,Overseas
Gurinder Sandhu,Bowler,Delhi Daredevils,2015.0,1.7,Indian
Gurkeerat Singh Mann,All-Rounder,Gujarat Titans,2022.0,0.5,Indian
Gurkeerat Singh Mann,All-Rounder,Delhi Daredevils,2018.0,0.75,Indian
Gurkeerat Singh Mann,All-Rounder,Royal Challengers Bangalore,2019.0,0.5,Indian
Gurkeerat Singh Mann,Batsman,Kings XI Punjab,2014.0,1.3,Indian
Hanuma Vihari,Batsman,Sunrisers Hyderabad,2015.0,0.1,Indian
Hanuma Vihari,Batsman,Delhi Capitals,2019.0,2.0,Indian
Harbhajan Singh,Bowler,Chennai Super Kings,2018.0,2.0,Indian
Harbhajan Singh,Bowler,Kolkata Knight Riders,2021.0,2.0,Indian
Hardik Pandya,All-Rounder,Mumbai Indians,2015.0,0.1,Indian
Hardus Viljoen,Bowler,Kings XI Punjab,2019.0,0.75,Overseas
Harpreet Brar,All-Rounder,Kings XI Punjab,2019.0,0.2,Indian
Harpreet Brar,All-Rounder,Punjab Kings,2022.0,3.8,Indian
Harry Gurney,Bowler,Kolkata Knight Riders,2019.0,0.75,Overseas
Harshal Patel,Bowler,Royal Challengers Bangalore,2014.0,0.4,Indian
Harshal Patel,All-Rounder,Delhi Daredevils,2018.0,0.2,Indian
Harshal Patel,All-Rounder,Royal Challengers Bangalore,2022.0,10.75,Indian
Heinrich Klaasen,Wicket Keeper,Royal Challengers Bangalore,2019.0,0.5,Overseas
Himmat Singh,Batsman,Royal Challengers Bangalore,2019.0,0.65,Indian
Hrithik Shokeen,All-Rounder,Mumbai Indians,2022.0,0.2,Indian
HS Sharath,Bowler,Delhi Daredevils,2014.0,0.1,Indian
Imran Tahir,Bowler,Chennai Super Kings,2018.0,1.0,Overseas
Iqbal Abdullah,All-Rounder,Rajasthan Royals,2014.0,0.65,Indian
Iqbal Abdullah,All-Rounder,Royal Challengers Bangalore,2016.0,0.1,Indian
Irfan Pathan,All-Rounder,Sunrisers Hyderabad,2014.0,2.4,Indian
Irfan Pathan,All-Rounder,Chennai Super Kings,2015.0,1.5,Indian
Irfan Pathan,All-Rounder,Rising Pune Supergiant,2016.0,1.0,Indian
Ishan Kishan,Wicket Keeper,Gujarat Lions,2016.0,0.35,Indian
Ishan Kishan,Wicket Keeper,Mumbai Indians,2018.0,6.2,Indian
Ishan Kishan,Wicket Keeper,Mumbai Indians,2022.0,15.25,Indian
Ishan Porel,Bowler,Punjab Kings,2022.0,0.25,Indian
Ishan Porel,Bowler,Kings XI Punjab,,0.2,Indian
Ishank Jaggi,Batsman,Kolkata Knight Riders,2017.0,0.1,Indian
Ishank Jaggi,Batsman,Kolkata Knight Riders,2018.0,0.2,Indian
Ishant Sharma,Bowler,Sunrisers Hyderabad,2014.0,2.6,Indian
Ishant Sharma,Bowler,Rising Pune Supergiant,2016.0,3.8,Indian
Ishant Sharma,Bowler,Delhi Capitals,2019.0,1.1,Indian
Ishwar Chandra Pandey,Bowler,Chennai Super Kings,2014.0,1.5,Indian
Ishwar Chandra Pandey,Bowler,Rising Pune Supergiant,2016.0,0.2,Indian
Isuru Udana,All-Rounder,Royal Challengers Bangalore,2020.0,0.5,Overseas
J Suchith,Bowler,Sunrisers Hyderabad,2021.0,0.3,Indian
J Suchith,All-Rounder,Mumbai Indians,2015.0,0.1,Indian
Jacob Oram,All-Rounder,Mumbai Indians,2013.0,0.375,Overseas
Jacques Kallis,All-Rounder,Kolkata Knight Riders,2014.0,5.5,Overseas
Jagadeesha Suchith,Bowler,Sunrisers Hyderabad,2022.0,0.2,Indian
Jalaj Saxena,All-Rounder,Mumbai Indians,2014.0,0.9,Indian
Jalaj Saxena,All-Rounder,Royal Challengers Bangalore,2015.0,0.1,Indian
Jalaj Saxena,All-Rounder,Delhi Capitals,2019.0,0.2,Indian
Jalaj Saxena,All-Rounder,Punjab Kings,2021.0,0.3,Indian
James Faulkner,All-Rounder,Rajasthan Royals,2013.0,3.0,Overseas
James Neesham,All-Rounder,Delhi Daredevils,2014.0,1.0,Overseas
James Neesham,All-Rounder,Kolkata Knight Riders,2015.0,0.5,Overseas
James Neesham,All-Rounder,Kings XI Punjab,2020.0,0.5,Overseas
James Neesham,All-Rounder,Mumbai Indians,2021.0,0.5,Overseas
James Neesham,All-Rounder,Rajasthan Royals,2022.0,1.5,Overseas
Jaskaran Singh,Bowler,Rising Pune Supergiant,2016.0,0.1,Indian
Jason Behrendorff,Bowler,Mumbai Indians,2018.0,1.5,Overseas
Jason Behrendorff,Bowler,Royal Challengers Bangalore,2022.0,0.75,Overseas
Jason Holder,Bowler,Chennai Super Kings,2013.0,0.15,Overseas
Jason Holder,Bowler,Sunrisers Hyderabad,2014.0,0.75,Overseas
Jason Holder,All-Rounder,Kolkata Knight Riders,2016.0,0.7,Overseas
Jason Holder,All-Rounder,Lucknow Super Giants,2022.0,8.75,Overseas
Jason Roy,Batsman,Gujarat Lions,2017.0,1.0,Overseas
Jason Roy,Batsman,Delhi Daredevils,2018.0,1.5,Overseas
Jason Roy,Batsman,Delhi Capitals,2020.0,1.5,Overseas
Jason Roy,Batsman,Gujarat Titans,2022.0,2.0,Overseas
Jasprit Bumrah,Bowler,Mumbai Indians,2014.0,1.2,Indian
Jatin Saxena,All-Rounder,Rajasthan Royals,2018.0,0.2,Indian
Javon Searless,All-Rounder,Kolkata Knight Riders,2018.0,0.3,Indian
